author,category,description,domain,ingested_at,published_ts,sentiment_compound,sentiment_label,sentiment_negative,sentiment_neutral,sentiment_positive,source_name,title,url,scored_at
Aamer Madhani,Politics,"President Donald Trump is set to leave for Beijing for high-stakes talks with President Xi Jinping. The U.S. has been trying to persuade China to use its influence over Iran to reopen the Strait of Hormuz. China, a major buyer of Iranian oil, insists it wants…",apnews.com,2026-05-13 13:00:17.018437,2026-05-12 08:10:00,-0.5994,Negative,0.178,0.822,0.0,Associated Press,Trump and Xi appear intent on keeping deep differences over Iran war from overshadowing China summit - AP News,https://apnews.com/article/trump-xi-iran-sanctions-trade-48b0ca751712ce473ffcd207997928af,2026-05-13 13:04:02.651588
Khobi Price,Other,"In the end, the Thunder killed the Lakers’ 2025-26 season, with the Lakers falling to the Thunder in Game 4 and being eliminated from the playoffs.",nypost.com,2026-05-13 13:00:17.018437,2026-05-12 07:36:20,-0.7845,Negative,0.331,0.669,0.0,New York Post,Lakers eliminated by Thunder after crushing Game 4 loss as LeBron James suffers rare sweep - New York Post,https://nypost.com/2026/05/12/sports/lakers-eliminated-by-thunder-after-crushing-game-4/,2026-05-13 13:04:02.651588
,Other,"Pancreatic cancer is notoriously lethal. But new treatments mean that may be changing, and people with the disease now have more reason to hope than ever before.",npr.org,2026-05-13 13:00:17.018437,2026-05-12 09:00:00,-0.3612,Negative,0.24,0.601,0.158,NPR,She's trying to outrun pancreatic cancer. Breakthrough treatments give her hope - NPR,https://www.npr.org/2026/05/12/nx-s1-5783797/pancreatic-cancer-breakthroughs-daraxonrasib-mrna,2026-05-13 13:04:02.651588
Andrew Howard,Other,"Democrats will be unable to respond to the GOP’s redistricting gains before the November elections, and are now turning the mapmaking fight into a political messaging battle.",politico.com,2026-05-13 13:00:17.018437,2026-05-12 08:40:00,0.0,Neutral,0.0,1.0,0.0,Politico,"As Republicans carve up Black districts, Democrats pivot to a new midterm message - Politico",https://www.politico.com/news/2026/05/12/republicans-redistricting-democrats-black-hispanic-districts-midterm-message-00915565,2026-05-13 13:04:02.651588
"Lauren Weber, Annie Gowen",Other,"More than a dozen Americans from the cruise ship at the center of the outbreak are being watched at a Nebraska facility, as the total number of cases rises to 11.",washingtonpost.com,2026-05-13 13:00:17.018437,2026-05-12 11:19:23,0.0,Neutral,0.0,1.0,0.0,The Washington Post,How passengers from hantavirus-hit cruise ship are quarantining in U.S. - The Washington Post,https://www.washingtonpost.com/health/2026/05/11/cruise-hantavirus-nebraska-quarantine/,2026-05-13 13:04:02.651588
"Spencer Soper, Cecilia D'Anastasio",Other,"EBay Inc. rejected a $56 billion takeover offer from GameStop Corp. Chief Executive Officer Ryan Cohen, describing the unsolicited bid as “neither credible nor attractive.”",bloomberg.com,2026-05-13 13:00:17.018437,2026-05-12 11:36:02,-0.4939,Negative,0.242,0.758,0.0,Bloomberg,EBay Rejects GameStop’s $56 Billion Takeover as Not Credible - Bloomberg.com,https://www.bloomberg.com/news/articles/2026-05-12/ebay-rejects-gamestop-s-56-billion-takeover-as-not-credible,2026-05-13 13:04:02.651588
"Anna  Schecter, Pat  Milton",Other,A strand of DNA. An eerie doorbell video. The investigation into Nancy Guthrie's disappearance reaches 100th day with no sign of a breakthrough.,cbsnews.com,2026-05-13 13:00:17.018437,2026-05-12 11:12:17,0.0,Neutral,0.0,1.0,0.0,CBS News,The Nancy Guthrie investigation could hang on a strand of DNA - CBS News,https://www.cbsnews.com/news/nancy-guthrie-investigation-dna-100-days/,2026-05-13 13:04:02.651588
Melanie Goodfellow,Other,"Bong Joon Ho’s ‘Ally’ Sets Voice Cast With Alex Jayne Go, Ayo Adebiri, Bradley Cooper, Dave Bautista & Werner Herzog",deadline.com,2026-05-13 13:00:17.018437,2026-05-12 05:00:00,0.296,Positive,0.0,0.845,0.155,Deadline,"Ayo Adebiri, Bradley Cooper, Werner Herzog Join Bong Joon Ho's Ally - Deadline",http://deadline.com/2026/05/bong-joon-ho-ally-voice-ayo-adebiri-bradley-cooper-herzog-1236898754/,2026-05-13 13:04:02.651588
George Pennacchio,Other,"Your new ""American Idol"" has been crowned! Here's how Monday night's finale played out.",abc7.com,2026-05-13 13:00:17.018437,2026-05-12 06:07:12,0.5859,Positive,0.0,0.847,0.153,KABC-TV,"'American Idol' finale 2026: Did Hannah Harper, Jordan McCullough or Keyla Richardson win season 24 of 'American Idol'? - ABC7 Los Angeles",https://abc7.com/post/who-won-american-idol-2026-season-24-hannah-harper-jordan-mccullough-keyla-richardson-finale-winner-crowned/19084292/,2026-05-13 13:04:02.651588
Zack Sharf,Other,Hayden Panettiere was 18 years old when a famous friend lured into a room where a naked older actor was waiting for her to perform sex acts.,variety.com,2026-05-13 13:00:17.018437,2026-05-12 08:36:00,-0.1027,Negative,0.041,0.959,0.0,Variety,Hayden Panettiere Was Told to Get in Bed With a Famous Male Actor Who Was Naked When She Was 18 Years Old: ‘This Is Not Happening’ and ‘I Hid Wherever I Could’ - Variety,https://variety.com/2026/tv/news/hayden-panettiere-naked-actor-sex-1236745535/,2026-05-13 13:04:02.651588
